x,y
-1.008198177,0.984338388
2.869069502,0.981583669
7.597072034,1.01339207
12.44796088,1.068558198
18.26988835,1.146479456
22.64472723,1.319208976
26.42149069,1.597866069
30.44144423,1.888072898
34.34109401,2.190087716
37.88069334,2.539248411
41.05679882,2.888667361
44.47867693,3.284801763
47.52070506,3.458478218
49.94399736,3.456756518
52.11032598,3.255934598
54.51123618,2.94944336
56.30718416,2.655104452
58.46060003,2.278453952
60.74120647,1.983770705
63.14556007,1.724167088
66.15573675,1.464133046
68.86558444,1.239479933
71.09421707,1.062058781
90,0
